Framework,VCPU,Concurrency,Metric,Removed,Reasons
node,4,1,RAM_MB,[6659],['Unknown']
node,4,10,P95_ms,[226000],['Latency spike']
node,4,10,P99_ms,[249000],['Latency spike']
node,4,25,RPS,"[7.5545, 14.7923]","['Possible saturation', 'Unknown']"
node,4,25,P95_ms,[11000],['Unknown']
node,4,25,P99_ms,[56000],['Latency spike']
node,4,25,ErrorRate,[0.3915],['Request failures']
node,4,50,RPS,[13.5853],['Unusually high throughput']
node,4,100,RAM_MB,[1067008],['Unknown']
node,4,150,P95_ms,[310000],['Latency spike']
node,4,150,TTA_ms,[54.0218],['Unknown']
node,4,250,TTA_ms,[1.346],['Unknown']
node,4,300,RPS,[5.4403],['Possible saturation']
node,4,300,P95_ms,[84000],['Latency spike']
node,4,300,P99_ms,[84000],['Latency spike']
node,4,300,TTA_ms,"[1.6962, 0.3678]","['Unknown', 'Unknown']"
node,4,350,P95_ms,[665000],['Latency spike']
node,4,350,P99_ms,[670000],['Latency spike']
node,4,350,TTA_ms,[1.5734],['Unknown']
node,4,350,RAM_MB,[272384],['Unknown']
node,4,400,TTA_ms,[1.1139],['Unknown']
node,4,450,P95_ms,[2189000],['Latency spike']
node,4,450,P99_ms,[2190000],['Latency spike']
node,4,450,ErrorRate,"[17.9421, 4.2802]","['Request failures', 'Request failures']"
node,4,450,RAM_MB,[2087936],['Unknown']
node,4,500,ErrorRate,"[20.2296, 4.9383, 0.1727]","['Request failures', 'Request failures', 'Request failures']"
node,4,500,TTA_ms,[2.8894],['Unknown']
node,4,500,RAM_MB,[7535],['Unknown']
python,4,1,RPS,[4.5254],['Unknown']
python,4,1,RAM_MB,"[315904, 3653632]","['Unknown', 'Unknown']"
python,4,25,P95_ms,[43000],['Latency spike']
python,4,25,P99_ms,[63000],['Latency spike']
python,4,25,ErrorRate,"[0.3757, 0.0923]","['Request failures', 'Request failures']"
python,4,50,P50_ms,[1300],['Unknown']
python,4,50,P95_ms,[56000],['Unknown']
python,4,50,TTA_ms,[1803.4932],['Unknown']
python,4,50,CPU_Usage,[129],['Unknown']
python,4,100,P95_ms,[186000],['Unknown']
python,4,100,RAM_MB,[1135616],['Unknown']
python,4,150,CPU_Usage,[1167],['Unknown']
python,4,150,RAM_MB,[1053696],['Unknown']
python,4,250,CPU_Usage,[13081],['Unknown']
python,4,300,RAM_MB,[1270784],['Unknown']
python,4,350,P50_ms,[43000],['Unknown']
python,4,350,TTA_ms,[6113.4009],['Unknown']
python,4,350,CPU_Usage,[1871],['Unknown']
python,4,400,P50_ms,[43000],['Unknown']
python,4,400,CPU_Usage,[4279],['Unknown']
python,4,450,P50_ms,"[52000, 12000]","['Unknown', 'Unknown']"
